route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Picton Station To Campbelltown,Picton to Narellan and Campbelltown,Out,Regular,900,900-12,P0203,Picton Buslines,RRPBC P0203,37.88,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",45834.477057547
Richmond Stn to Granville Stn - Brid,Richmond to Granville Limited Stops,In,Planned Replacement,35T1,35T1-1,PRBST031,Busways R1,,50.12,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",60390.25058091965
Blacktown HS to Plumpton Marketplace,School Service,Out,School,6559,6559-53097,GSBC001,Busways R1,GSBC Contract 1,11.04,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13299.87080916963
Waukivory to Gloucester Schools,Waukivory to Gloucester Schools,In,School,S149,S149-2,P0228,Newcombe Coach Lines,RRPBC P0228,33.25,"admin@newcombebus.com, tony@newcombebus.com",0438 581 418,,,"40 Industrial Drive North Boambee Valley, COFFS HARBOUR DC, NSW, 2450",39358.6135474881
Turramurra Station to Turramurra Station,Mac Uni to Turramurra via S. Turramurra and W Pymble,Out,Regular,572,572-124,GSBC014,CDC NSW R14,GSBC Contract 14,9.26,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",11167.90663499563
Wollongong Station - Shellharbour - Unanderra,Wollongong LakeLink Loop (Clockwise),In,Regular,57,57-3,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,44.88,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",54599.52258136936
Binya Public to Binya,Binya to Binya Public,Out,School,S440,S440-2,C0359,MJ Evans & RN Evans Pty Ltd,RRPBC C0359,54.41,evansjn@iinet.net.au,0447159009,,,"7 Francis Street, BINYA, NSW, 2665",65930.0129150631
Tahmoor To Picton Station,Tahmoor to Picton via Thirlmere,In,Regular,912,912-7,P0203,Picton Buslines,RRPBC P0203,16.58,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",20089.431965780335
Jindabyne Schools to Kalkite 1 via Tyrolean Village,Jindabyne to Kalkite via Tyrolean Village,Out,School,S504,S504-1,P0220,Cooma Coaches,RRPBC P0220,22.15,gferris@coomacoaches.com.au,0418 214 135,02 6452 4841,02 6452 4841,"7 Holland Road Polo Flat, COOMA, NSW, 2630",27554.956837932157
McAuley College to Prince St (Market Sq,School Service,Out,School,S742,S742-54049,L0816,Busways,RRBSC L0816,12.38,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",14259.039266248297
Camden Haven HS to Laurieton (Coles),School Service,Out,School,S642,S642-12231,L0822,Busways,RRBSC L0822,8.81,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",10361.118331875914
Soldiers Point - Nelson Bay,Fingal Bay to Soldiers Point,Out,Regular,133,133-54,OSMBSC003,Port Stephens,OSMBSC Contract 3,13.51,alison@pscoaches.com.au,0412 423 403,,,"15A Port Stephens Drive, ANNA BAY, NSW, 2316",16099.028060337658
Westfield Miranda: Stand 6 to Barden Ridge,Miranda to Barden Ridge,Out,Regular,961,961-643,GSBC010,U-Go Mobility,GSBC Contract 10,14.74,Leanne.frederiksen@u-gomobility.com,0411018331,,,,17816.723466193293
Young Schools to Telegraph Rd,Telegraph Rd to Young Schools,Out,School,S578,S578-2,C0669,Keir's Bus Service,RRPBC C0669,31.51,keirsbusservice@gmail.com,0407 222 563,,,,38253.86809760869
"Fairfield Stn, Std C - Liverpool Stn, Std A",Liverpool to Fairfield via Abbotsbury,Out,Regular,808,808-17,GSBC003,Transit Systems NSW,GSBC Contract 3,27.1,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",32698.056195425557
Young to Young Schools via Back Creek Rd,Young to Young Schools via Back Creek Rd,In,School,S695,S695-1,C0696,Loaders Coaches,RRPBC C0696,14.98,info@loaderscoaches.com.au,0418 607 381,(02) 6343 1797,(02) 6343 1797,"1 Manganese Road, GRENFELL, NSW, 2810",18183.473661325952
Willow Vale to Moss Vale via Mittagong & Bowral,Willow Vale to Moss Vale via Mittagong & Bowral,Out,Regular,811,811-13,M0306,Berrima Buslines,RRBSC M0306,33.05,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",40175.753313837755
St Clair Shops (Bennett Rd) to St Marys Stn,St Marys to St Clair Shopping Village Loop,In,Regular,S11,S11-18,GSBC001,Busways R1,GSBC Contract 1,8.09,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",9757.004211138636
The Ponds HS to Sentry/Quakers Hill ,School Service,Out,School,6606,6606-62157,GSBC001,Busways R1,GSBC Contract 1,5.18,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6236.767938197125
Kurri Kurri HS to Maitland Station,Kurri Kurri HS to Maitland Station,Out,School,S951,S951-1,OSMBSC001,Rover Motors,OSMBSC Contract 1,15.7,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",18725.91715219438
Woy Woy Stn to Gosford Stn,Gosford & Woy Woy via Kincumber & Empire Bay,In,Regular,64,64-279,OMBSC006,Busways OMR6,OMBSC Contract 6,47.63,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",57216.1517929571
Rosella Bus - Lismore Schools to Lismore Military St via Goonellabah,Rosella Bus - Lismore Schools to Lismore Military St via Goonellabah,Out,School,S348,S348-2,M0814,Nthn Rivers Buslines,RRBSC M0814,29.54,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",33689.76717965384
Pacific Palms Recreation Club to Bulahdelah Depot,School Service,Out,School,S668,S668-223,M0821,Busways,RRBSC M0821,47.33,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",56149.64306489945
Pacific Hwy/Marcia to St Augustines PS,School Service,In,School,S186,S186-63081,L0817,Busways,RRBSC L0817,8.24,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",9544.690458827266
Glenroy & Hamilton Valley to Nth Albury & Albury Schools via Lavington,Glenroy & Hamilton Valley to Nth Albury & Albury Schools via Lavington,In,School,S810,S810-2,P0202,Martins Albury,RRPBC P0202,17.58,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",21773.71676323301
Wambianna Rd to Trangie Schools,Wambianna Rd to Trangie Schools,In,School,S635,S635-2,C0655,Jack James & Sons,RRPBC C0655,37.43,jack.minnie@bigpond.com,0428 887 616,6888 7616,0428 887 616,,44201.51862624407
St Josephs Regional to Port Central,School Service,Out,School,S653,S653-78197,L0822,Busways,RRBSC L0822,13.21,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",15504.266294222603
Baradine Schools to Gwabegar,Gwabegar to Baradine Schools,Out,School,S645,S645-2,C0353,"Matthews, Lyndon",RRPBC C0353,40.66,bulla1972@outlook.com,0457 280 270,02 6843 1101,,,47493.88419121313
Blacktown Station to Mt Druitt Station,Blacktown - Mt Druitt Via Hassle Grove,In,Regular,754,754-214,GSBC001,Busways R1,GSBC Contract 1,19.83,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",23899.20898093238
Penrith Stn to Windsor Stn,Windsor to Penrith via Llandilo & Cranebrook,Out,Regular,673,673-66,GSBC001,Busways R1,GSBC Contract 1,32.61,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",39286.927419962834
Daruka to Tamworth Schools via Woonooka Rd,Daruka to Tamworth Schools via Woonooka Rd,Out,School,S225,S225-4,C0424,Macphersons Tamworth,RRPBC C0424,29.95,archie@maccoaches.com.au,0402 350 108,02 6760 7190,02 6760 7190,"282 Gunnedah Road, TAMWORTH, NSW, 2340",35035.44399567739
Innisfail to Gilgandra Schools,LUE TO MUDGEE,In,School,S323,S323-2,M0784,Ogdens Coaches,RRBSC M0784,37.97,mandi@ogdenscoaches.com.au,0428 636 793,,,"130 Thornton Street, WELLINGTON, NSW, 2820",44720.259300704616
Western Sydney Uni Penrith Campus - Prairiewood T-,WSU Penrith to Prairiewood,In,Regular,835,835-28,GSBC003,Transit Systems NSW,GSBC Contract 3,33.47,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",40352.9447805896
Curringa/Arunta to Gosford Stn,Gosford-KariongLoop-Gosford,In,Regular,34,34-72,OMBSC006,Busways OMR6,OMBSC Contract 6,11.63,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",13962.629885678805
Woy Woy Stn to Woy Woy Stn,WoyWoy & Umina via Ocean Beach Rd,In,Regular,50,50-145,OMBSC006,Busways OMR6,OMBSC Contract 6,14.88,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",17900.848441475635
Cowra Schools to Walli via Binni Creek Rd,Walli to Cowra Schools via Binni Creek Rd,Out,School,S923,S923-2,S0275,Cowra Bus Service,RRBSC S0275,48.03,info@cowrabus.com.au,0427 421 021,02 6342 1021,,"93 / 99 Redfern Street, COWRA, NSW, 2794",57892.319407267845
Oak Flats - North Wollongong,Oak Flats Station to Wollongong HS ,In,School,S140,S140-10,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,30.18,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",36710.562440993475
The Scenic/Cullens to Gosford Stn,Gosford & Woy Woy via Kincumber & Empire Bay,In,Regular,64,64-224,OMBSC006,Busways OMR6,OMBSC Contract 6,19.67,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",23605.174689022566
Bega to Eden via Wolumla & Merimbula,Bega to Eden via Wolumla & Merimbula,Out,Regular,890,890-8,P0207,Sapphire Coast Buslines,RRPBC P0207,73.27,jamiek@scbuslines.com.au,0428 963 879,02 6495 6452,(02) 6495 6452,"39 Redfern Close, SOUTH PAMBULA, NSW, 2549",91626.34298345844
Tahmoor To Picton Station,Yanderra and Bargo to Picton via Tahmoor,In,Regular,911,911-8,P0203,Picton Buslines,RRPBC P0203,10.23,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",12405.515886333662
Sussex St near Erskine St to Epping Station,Epping to City via North Sydney (Night Service),Out,Regular,290,290-349,GSBC007,Busways North West,GSBC Contract 7,20.91,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",25211.472266432538
42 Wallsend to John Hunter Hospital,Wallsend to John Hunter Hospital,In,Regular,42,42-13,NISC001,Newcastle Transport,NISC Bus,8.04,contact@newcastletransport.info,0402 027 065,02 4974 1651 ,,"89 Denison Street, HAMILTON, NSW, 2303",9601.535828135644
Marrickville High - Martin Place,Canterbury - Martin Place,In,Regular,428,428-139,SBSC006,Transit Systems West,SBSC Contract 6,8.88,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",10724.399059675825
St Joseph's - Calderwood,Calderwood - St Joseph's,Out,School,S269,S269-11,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,6.17,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",7507.891593700819
"Campbelltown Stn, Std A - Campbelltown Stn, Std A",Campbelltown to Camden South via Camden (Loop Serv,In,Regular,895,895-132,GSBC002,Transit Systems NSW SW,GSBC Contract 2,44.32,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",53597.03702110141
Hyde Park - Burwood Station (Railway Pde),Burwood Plaza - Hyde Park,Out,Regular,461N,461N-44,SBSC006,Transit Systems West,SBSC Contract 6,13,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",15675.950716167226
Bonnyrigg T-Way Stn - To Liverpool - Liverpool Stn,Liverpool to Fairfield via Abbotsbury,Out,Regular,808,808-3,GSBC003,Transit Systems NSW,GSBC Contract 3,8.43,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",10172.606794376701
Boorowa Schools to Frogmore via Phils Creek,Frogmore to Boorowa Schools via Phils Creek,Out,School,S722,S722-2,C0781,RJ & KM KEEFE PTY LTD,RRPBC C0781,35.38,rkkeefe1@bigpond.com,0428 853 707,,,"22-30 Dillon Street, BOOROWA, NSW, 2586",42942.49180073123
Bomaderry to North Nowra via Nowra,North Nowra to Bomaderry via Nowra,Out,School,S521,S521-1,P0206,Shoalbus,RRPBC P0206,18.54,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",22633.823834351853
Mantis Ray Bus - Goonengerry Public to Southern Cross University via Federal & Bexhill,Mantis Ray Bus - Goonengerry Public to Southern Cross University via Federal & Bexhill,Out,School,S374,S374-2,M0814,Nthn Rivers Buslines,RRBSC M0814,72.05,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",82139.87324717465
East School Bus - Armidale to Armidale Schools,East School Bus - Armidale to Armidale Schools,In,School,S325,S325-1,C0250,Edwards Coaches,RRPBC C0250,40.13,james@edwardscoaches.com.au,02 6772 3116,02 6772 3116,02 6772 3116,"2 Drew Street, ARMIDALE, NSW, 2350",46639.822708919986
Barooga to Finley Schools via Tocumwal,Barooga to Finley Schools via Tocumwal,In,School,S316,S316-1,P0222,Baldwin's Buses,RRPBC P0222,61.39,baldwinsbusses@bigpond.com,0358743355,0427 743 344,03 5874 3355,"15-23 Hannah Street, TOCUMWAL, NSW, 2714",75731.938722275
Woolbrook to Walcha,Woolbrook to Walcha,In,School,S744,S744-1,C0426,MacPhersons Walcha Pty Ltd,RRPBC C0426,44.62,info@oxleyexplorer.com.au,0417443387,,,"11 Bridge St, URALLA, NSW, 2358",52097.53584919688
Westfield Tuggerah to Lake Haven Centre,Lake Haven Shops -Wyong and Tuggerah,In,Regular,78,78-4,OSMBSC011,Coastal Liner,OSMBSC Contract 11,22779.92,,,,,,27303.202728962176
Mary Help of Christians PS to Toormina HS,Mary Help of Christians Sch to Toormina HS,Out,School,S904,S904-3,M0787,Forest Coach Lines,RRBSC M0787,32.35,info.fcl@cdcbus.com.au,0413498237,02 6652 3201 ,02 6653 3345,,37540.05201178101
Gosford Stn to Ocean View/Memorial,Gosford & Woy Woy via Kincumber & Empire Bay,Out,Regular,64,64-208,OMBSC006,Busways OMR6,OMBSC Contract 6,40.5,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",48639.78178172257
Kangaroo Valley to Wattamolla,Kangaroo Valley to Wattamolla,Out,School,S440,S440-7,C0673,Kennedy's Bus,RRPBC C0673,5.31,sales@kennedystours.com.au,0411 232101,4421 7596,,"7 Flinders Road, SOUTH NOWRA, NSW, 2541",6461.946533254489
Comleroy/Oswald Pk to Richmond Nth PS,School Service,In,School,5050,5050-6002,GSBC001,Busways R1,GSBC Contract 1,26.97,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",32424.04809451557
Corowa Schools to South Corowa,South Corowa to Corowa Schools,Out,School,S778,S778-2,S0146,Cann's Bus Mgmt,RRBSC S0146,18.73,admin@cannsbuslines.com.au,0458 275 657,,6033 2249,"30 - 32 Posiedon St, COROWA, NSW, 2646",23176.566589746446
Runowaters to Goulburn Schools via Sloane St,Runowaters to Goulburn Schools via Sloane St,In,School,S819,S819-1,C0256,PBC Goulburn,RRPBC C0256,36.12,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",44046.650561560826
Warrah to Quirindi Schools via Warrah Ridge,Warrah to Quirindi Schools via Warrah Ridge,In,School,S720,S720-2,C0412,Howards Bus,RRPBC C0412,39.39,office@howardsbus.com.au,0428 401 502,02 6546 6178,02 6546 6178,"73 Boyd St, MURRURUNDI, NSW, 2338",46319.92805662843
Gunnedah Schools to View St via Gunnedah Town,Gunnedah Schools to View St via Gunnedah Town,Out,School,S408,S408-1,C0301,Hopes Bus Service Pty Limited,RRPBC C0301,27.76,rodhope@hotmail.com,0267420457,02 6742 0457,02 6742 0457,"26 Railway Ave, GUNNEDAH, NSW, 2380",32440.892917113146
Fairy Meadow - Bellambi - Wollongong,Wollongong to Northern Suburbs Loop (clockwise),In,Regular,8,8-5,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,25.58,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",31073.544074131343
Gundagai Schools to Mundarlo via Tumblong,Mundarlo to Gundagai Schools via Tumblong,Out,School,S375,S375-2,C0590,Ecclestons Buses Gundagai,RRPBC C0590,60.42,mjeccleston@outlook.com,0411 168 217,,,,73975.49590200328
Horsley - Corpus Christi,Bong Bong Rd opp Parkdale Ave to Corpus Christi HS  ,In,School,S068,S068-1,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,32.07,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",38995.70529031136
"Campbelltown Stn, Std A - Campbelltown Stn, Std A",Campbelltown to Mount Annan via Narellan Vale (Loo,In,Regular,892,892-15,GSBC002,Transit Systems NSW SW,GSBC Contract 2,22.61,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",27334.243108255007
"Marsden HS, Rhodes St to Parramatta Station",West Ryde to Parramatta,Out,Regular,523,523-34,GSBC007,Busways North West,GSBC Contract 7,13.37,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",16122.87872450721
Goulburn Schools to Middle Arm,Middle Arm to Goulburn Schools,Out,School,S812,S812-4,C0429,PBC Goulburn,RRPBC C0429,43.85,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",53461.98497179246
Eurongilly to Junee Schools via Illabo,Eurongilly to Junee Schools via Illabo,Out,School,S223,S223-20,C0416,Junee Buses,RRPBC C0416,55.9,david@juneebuses.com.au,0438 943 183,,02 6924 2244,"218 Main Street, JUNEE, NSW, 2663",68243.32031111
"Gateway Airport, Southern Cross Dr to Byron Bay",Mullumbimby to Ballina via Byron Bay,In,Regular,640,640-159,M0794,CDCNSW,RRBSC M0794,44.35,info.northcoast@cdcbus.com.au / andrew.fogg@cdcbus,0413 498 237,02 6686 2144,02 6686 2144,"5 De Havilland Crescent, BALLINA, NSW, 2478",50629.7352535426
"Cabramatta Stn, Railway Pde, Std A - Bonnyrigg T-W",Cabramatta to Fairfield via Edensor Park,In,Regular,817,817-5,GSBC003,Transit Systems NSW,GSBC Contract 3,7.92,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",9560.410547890067
St Benedicts Primary to Antill St Intg,Weeroona and Norton Rd - St Benedicts via Antill St,Out,School,S259,S259-10,M0237,QCity Transit,RRBSC M0237,18.74,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",23001.321546057934
Gosford Stn to Ocean View/Memorial,"Gosford, WoyWoy & Ettalong via OceanBeachRd&Umina",Out,Regular,55,55-96,OMBSC006,Busways OMR6,OMBSC Contract 6,18.67,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",22443.937411649353
Mackillop College (Junior) to Lake/Arawa,School Service,Out,School,S656,S656-50099,L0822,Busways,RRBSC L0822,5.23,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6147.840914943134
Queanbeyan to Bungendore,Bungendore to Queanbeyan,Out,Regular,844,844-42,L0328,QCity Transit,RRBSC L0328,31.41,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",38528.01592934367
Parramatta Station to Rouse Hill Station,Rouse Hill Station to Parramatta via Glenhaven,Out,Regular,603,603-461,GSBC004,CDC NSW R4,GSBC Contract 4,36.89,customer.service@cdcbus.com.au,0406 495 964,,,"29 Foundry Road, SEVEN HILLS, NSW, 2147",44458.63271022202
Old Princes Hwy Opp Engadine Community C to Ferry Terminal and Bundeena Shops,Bundeena to Maianbar (Loop Service),In,Regular,989,989-69,GSBC010,U-Go Mobility,GSBC Contract 10,39.16,Leanne.frederiksen@u-gomobility.com,0411018331,,,,47385.46715454095
Narrandera Schools to Grong Grong,Grong Grong to Narrandera Schools,Out,School,S697,S697-2,C0338,Mahoney's Coaches,RRPBC C0338,35.37,admin@mahoneyscoaches.com.au,0428 591 699,,,"94 Adams Street, NARRANDERA, NSW, 2700",43072.54312439166
Giants Creek to Merriwa Schools via Gungal,Giants Creek to Merriwa Schools via Gungal,In,School,S250,S250-2,C0408,Cowans Bus Service,RRPBC C0408,48.51,buses@cowans.com.au,0409441884,,02 6547 4900 ,"Mount Rest, SANDY HOLLOW, NSW, 2333",57496.79420051081
Uki Public to Aetaomah Steiner & Mount Burrell,Uki Public to Aetaomah Steiner & Mount Burrell,In,School,S244,S244-1,V0954,J & B Buses,RRBSC V0954,40.34,jandbbuses@hotmail.com,0427453091,,,"20 QUARRY ROAD, SOUTH MURWILLUMBAH, NSW, 2484",45849.15856175878
Ulladulla Schools to Little Forest via Milton Schools,Little Forest to Ulladulla Schools via Milton Schools,Out,School,S675,S675-2,C0418,Kellam Bus Lines,RRPBC C0418,31.86,Ulladulla@kellambus.com.au,0419 243 650,02 4455 4444,02 6662 2561,"Lot 2 Blackburn Road, ULLADULLA, NSW, 2539",39119.05050482481
Seaforth Shops to Manly Wharf,Seaforth to Manly,In,Regular,162,162-10,GSBC008,KD Northern Beaches,GSBC Contract 8,8.04,kdnb.customerservice@keolisdowner.com.au,0448 324 844,,,"630-636 Pittwater Road, BROOKVALE, NSW, 2100",9694.373495379607
Stockland Shellharbour - Albion Park - Shellharbour Beach,Shellharbour to Albion Park,In,Regular,76,76-33,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,42.3,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",51458.287348969614
Callala and Currarong to Nowra via Myola,Callala and Currarong to Nowra via Myola,In,Regular,120,120-16,V0313,Nowra Coaches,RRBSC V0313,1.82,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",2229.7915600753363
Hunters Hill HS to Ryde Shops - Blaxland Rd,School Service,Out,School,570w,570w-12,GSBC007,Busways North West,GSBC Contract 7,6.7,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",8076.765062652854
Bearbong to Gilgandra Schools,Bearbong to Gilgandra Schools,In,School,S228,S228-1,C0434,Pecton Pty Ltd,RRPBC C0434,50.68,fiona@langleyscoaches.com.au,0419 608 168,02 6882 8977,02 6882 8977,"4 Jannali Road, DUBBO, NSW, 2830",59653.2351882026
Picton Station To Bargo,Yanderra and Bargo to Picton via Tahmoor,Out,Regular,911,911-30,P0203,Picton Buslines,RRPBC P0203,16.92,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",20530.45385971888
Bonnet Bay to Westfield Miranda: Stand 5,Miranda to Bonnet Bay via Kareela,In,Regular,968,968-456,GSBC010,U-Go Mobility,GSBC Contract 10,15.12,Leanne.frederiksen@u-gomobility.com,0411018331,,,,18274.94222016732
Griffith to Beelbangera & Yenda (Loop Service),Griffith to Beelbangera & Yenda (Loop Service),In,Regular,944,944-5,S0296,Griffith Buslines,RRBSC S0296,11.51,info@buslinesgroup.com.au,0418 214135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",13953.203505974923
"Parramatta Stn, Std B3 - Bonnyrigg T-Way Stn - To ",Liverpool to Parramatta via Guildford West,Out,Regular,802,802-147,GSBC003,Transit Systems NSW,GSBC Contract 3,20.45,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",24689.951538103654
Goulburn to West Goulburn (Loop Service),Goulburn to West Goulburn (Loop Service),In,Regular,823,823-4,C0256,PBC Goulburn,RRPBC C0256,9.19,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",11201.329407479267
Hawkesbury HS to Bells Line of Rd/Cro,School Service,Out,School,5550,5550-40021,GSBC001,Busways R1,GSBC Contract 1,50,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",60101.33710484687
Matong to Matong Public via North Berembed,Matong to Matong Public via North Berembed,In,School,S647,S647-1,C0804,Steele's Bus Pty Ltd,RRPBC C0804,51.14,jtsteele1@activ8.net.au,0404 371 760,02 6927 7852,,"271 Mattinglys Lane, MATONG, NSW, 2652",62362.98020796665
Yarrawonga Schools & Mulwala Public to Mulwala via Drain Lane,Mulwala to Mulwala Public & Yarrawonga Schools via Drain Lane,Out,School,S945,S945-2,C0636,Woods Bus Lines,RRPBC C0636,27.43,woodsbusline@bigpond.com,0428 359 433,03 5743 1157,,"17 Melaleuca St,, YARRAWONGA, VIC, 3730",33918.020067049445
"Byron Bay Public School, Kingsley St to Byron Bay Bus Depot Tasman Way",Byron Bay PS - Byron Bay,Out,School,S449,S449-1,M0794,CDCNSW,RRBSC M0794,27.53,info.northcoast@cdcbus.com.au / andrew.fogg@cdcbus,0413 498 237,02 6686 2144,02 6686 2144,"5 De Havilland Crescent, BALLINA, NSW, 2478",31375.720060697415
Penrith Stn to Penrith Stn,Penrith to Penrith via South Penrith,In,Regular,791,791-17,GSBC001,Busways R1,GSBC Contract 1,16.42,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",19798.353701221804
Picton Station To Yanderra,Yanderra and Bargo to Picton via Tahmoor,Out,Regular,911,911-16,P0203,Picton Buslines,RRPBC P0203,16.93,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",20536.88880302389
"Old Bar to Taree, Chatham, & Cundletown Schools","Old Bar to Taree, Chatham, & Cundletown Schools",In,School,S754,S754-1,P0200,Eggins Coaches,RRPBC P0200,41.46,info@egginscomfortcoaches.com.au,0427 522 702,0265 522700,02 6552 2700 ,"2 Elizabeth Avenue, TAREE, NSW, 2430",48916.271887385556
